"","TIME_PERIOD","ESTIMATE","SUBGROUP"
"1",1999,4,"Female"
"2",2000,4,"Female"
"3",2001,4.1,"Female"
"4",2002,4.3,"Female"
"5",2003,4.3,"Female"
"6",2004,4.6,"Female"
"7",2005,4.5,"Female"
"8",2006,4.6,"Female"
"9",2007,4.8,"Female"
"10",2008,4.9,"Female"
"11",2009,5,"Female"
"12",2010,5.2,"Female"
"13",2011,5.4,"Female"
"14",2012,5.5,"Female"
"15",2013,5.7,"Female"
"16",2014,6,"Female"
"17",2015,6.2,"Female"
"18",2016,6.2,"Female"
"19",2017,6.3,"Female"
"20",2018,6.4,"Female"
"21",2019,6.2,"Female"
"22",2020,5.6,"Female"
"23",2021,5.9,"Female"
"24",1999,17.1,"Male"
"25",2000,17.1,"Male"
"26",2001,17.6,"Male"
"27",2002,18,"Male"
"28",2003,17.7,"Male"
"29",2004,17.8,"Male"
"30",2005,17.8,"Male"
"31",2006,17.9,"Male"
"32",2007,18.4,"Male"
"33",2008,19,"Male"
"34",2009,19.3,"Male"
"35",2010,19.9,"Male"
"36",2011,20.2,"Male"
"37",2012,20.6,"Male"
"38",2013,20.6,"Male"
"39",2014,21.1,"Male"
"40",2015,21.5,"Male"
"41",2016,21.8,"Male"
"42",2017,22.9,"Male"
"43",2018,23.4,"Male"
"44",2019,23,"Male"
"45",2020,22.5,"Male"
"46",2021,23.3,"Male"
